run_id,condition_index,repetition,seed,party_adaptation,base_pressure,mean_margin,control_change_rate,party_gap,blue_position,red_position,turnout_rate
77,7,7,6881260385396976840,0.1,0.5,3.394467851745527,49.494949494949495,0.33505124550898224,-0.1587858217117801,0.17626542379720217,65.4
78,7,8,986696458800254528,0.1,0.5,2.77852573265709,46.464646464646464,0.3555121658035206,-0.16942736594694013,0.18608479985658044,62.8
79,7,9,9511987160317660280,0.1,0.5,2.8820494763115927,47.474747474747474,0.3184509023101434,-0.15953971782883908,0.15891118448130429,64.0
80,8,0,13182684994270760514,0.1,0.75,2.927147667476927,48.484848484848484,0.37264188126346176,-0.1777669216031646,0.19487495966029716,65.0
81,8,1,17497369085471242771,0.1,0.75,2.5521550555308035,44.44444444444444,0.34535355289650205,-0.16057530861256422,0.18477824428393785,62.8
82,8,2,16142688563249650437,0.1,0.75,3.524315903441273,42.42424242424242,0.3579679322207846,-0.157124323799824,0.20084360842096063,66.2
83,8,3,8443789836193380125,0.1,0.75,2.8822369991588745,53.535353535353536,0.3497020478690077,-0.16288641016523217,0.18681563770377554,67.2
84,8,4,13145474581219769686,0.1,0.75,2.865421851198939,39.39393939393939,0.3762186760250023,-0.19099255188037215,0.18522612414463016,66.4
85,8,5,4604703871368151028,0.1,0.75,3.1031166677646724,48.484848484848484,0.3540169224904836,-0.17040672218535424,0.18361020030512937,65.2
86,8,6,14067409057729023322,0.1,0.75,3.083214473106622,53.535353535353536,0.3590548958016146,-0.177698677030806,0.1813562187708086,63.4
87,8,7,10758974716298792651,0.1,0.75,2.959939089587187,48.484848484848484,0.37632383069362607,-0.18403070746262093,0.19229312323100511,65.6
88,8,8,5887328138672343569,0.1,0.75,3.029421131167234,49.494949494949495,0.3560184714787044,-0.1866589977569532,0.16935947372175122,64.6
89,8,9,14384507004093180077,0.1,0.75,2.717021866563931,53.535353535353536,0.3519610212247728,-0.18495643444971985,0.16700458677505292,65.0
90,9,0,11966550756878304246,0.1,1.0,3.265938208359968,50.505050505050505,0.42551705792118205,-0.21304340724297244,0.2124736506782096,64.4
91,9,1,8263427643908703571,0.1,1.0,2.8962926909850153,51.515151515151516,0.3979249832203912,-0.1886317709092329,0.20929321231115833,58.6
92,9,2,2522221857488168668,0.1,1.0,3.3316551242800387,40.4040404040404,0.4067272941645111,-0.2043079658045661,0.202419328359945,62.2
