run_id,condition_index,repetition,seed,electorate_shape,homophily,social_influence,mean_margin,control_change_rate,party_gap,mean_voter_ideology,switch_rate,ideology_sd,mean_degree
265,26,5,13308312510345652966,two-camp,0.0,0.05,3.4284941948729313,33.333333333333336,0.020000000000000004,-0.03003044938751667,0.0,0.04484615669090762,6.0
266,26,6,14945040452598101232,two-camp,0.0,0.05,3.6060966695710657,42.42424242424242,0.019999999999999997,0.019675914477064342,0.0,0.0423157765074705,6.0
267,26,7,7221429076885578322,two-camp,0.0,0.05,2.962569417117856,59.5959595959596,0.04120374156170207,-0.0178092578105755,0.0,0.05370645181192654,6.0
268,26,8,6929090279378353866,two-camp,0.0,0.05,2.887715352161069,47.474747474747474,0.020657850008395682,-0.03306027933456679,0.0,0.05135844270042561,6.0
269,26,9,4892854448501920970,two-camp,0.0,0.05,3.338229498188268,49.494949494949495,0.02,-0.004294158398007292,0.0,0.04744353409588231,6.0
270,27,0,17393988579610143212,two-camp,0.0,0.1,3.342033600882968,51.515151515151516,0.022722756059917457,-0.0027234671874251065,0.0,0.025728564166814797,6.0
271,27,1,2729375928774884447,two-camp,0.0,0.1,2.8534647515913645,46.464646464646464,0.020000000000000004,0.026608331300220243,0.0,0.033287965816312735,6.0
272,27,2,7052066749788023760,two-camp,0.0,0.1,4.016178863671172,34.343434343434346,0.020000000000000004,-0.016517120300625684,0.0,0.027590904548791248,6.0
273,27,3,11343026860006071665,two-camp,0.0,0.1,3.3312730205895984,54.54545454545455,0.019999999999999997,0.02806521518325161,0.0,0.025271462112646227,6.0
274,27,4,15136154903811380066,two-camp,0.0,0.1,3.16381278599645,53.535353535353536,0.02,0.0011868053707162053,0.0,0.04444360522706484,6.0
275,27,5,357252999695332662,two-camp,0.0,0.1,3.475788978740503,54.54545454545455,0.02,0.004737927597588998,0.0,0.0300973858152622,6.0
276,27,6,17397035426103617664,two-camp,0.0,0.1,3.10924671994877,56.56565656565657,0.020000000000000004,0.027838513772213906,0.0,0.05527008456733861,6.0
277,27,7,4403501334460839000,two-camp,0.0,0.1,3.238731469252968,45.45454545454545,0.019999999999999997,-0.012559001991097296,0.0,0.027760718633318044,6.0
278,27,8,11272097427724231319,two-camp,0.0,0.1,3.7615703299631407,40.4040404040404,0.019999999999999997,0.01648228418873839,0.0,0.02974699226203392,6.0
279,27,9,12890840274752426172,two-camp,0.0,0.1,3.5108349605403157,49.494949494949495,0.020000000000000004,-0.006726148645281493,0.0,0.026115287459614094,6.0
280,28,0,14597402484634029614,two-camp,0.0,0.2,3.0160722158281303,56.56565656565657,0.019999999999999997,0.02183380195789542,0.0,0.01760311582879309,6.0
281,28,1,17318953795178672528,two-camp,0.0,0.2,3.1824990165000524,46.464646464646464,0.028003204160702205,0.017648901846350762,0.0,0.027358237085662058,6.0
282,28,2,6098407048886820953,two-camp,0.0,0.2,3.7378013350543187,59.5959595959596,0.020000000000000004,0.012623355655005558,0.0,0.030161905392927405,6.0
283,28,3,2448522773236726852,two-camp,0.0,0.2,3.4699033571392,36.36363636363637,0.020236929890209684,0.06499042745559634,0.0,0.029848899171678822,6.0
284,28,4,16334637911876655517,two-camp,0.0,0.2,3.2966228134407127,56.56565656565657,0.020000000000000004,-0.025299946285103233,0.0,0.018294967243965125,6.0
285,28,5,13147736428265407845,two-camp,0.0,0.2,2.9190572588884036,54.54545454545455,0.020000000000000004,-0.0246863343179956,0.0,0.035887697730523686,6.0
286,28,6,6643563450493996406,two-camp,0.0,0.2,3.3141667631521874,56.56565656565657,0.019999999999999997,-0.020084740570957462,0.0,0.030795014775075985,6.0
287,28,7,813026177362699836,two-camp,0.0,0.2,2.7417185793167733,51.515151515151516,0.02,-0.006744894265632056,0.0,0.019387958234007668,6.0
288,28,8,2725130671254065012,two-camp,0.0,0.2,3.3388077147359145,61.61616161616162,0.019999999999999997,-0.008468823186659546,0.0,0.0244042492459157,6.0
289,28,9,1107125633651996814,two-camp,0.0,0.2,3.0051243895354025,54.54545454545455,0.02,-0.0005335772723519838,0.0,0.031301297562375006,6.0
290,29,0,5826320505652949628,two-camp,0.0,0.4,5.177617468624323,24.242424242424242,0.020000000000000004,0.03242233529295559,0.0,0.016368778585131628,6.0
291,29,1,8005918551152564423,two-camp,0.0,0.4,3.214068585808671,46.464646464646464,0.02,-0.011489691149970897,0.0,0.03030574676462525,6.0
292,29,2,3933567395450812405,two-camp,0.0,0.4,2.8425893227280374,58.58585858585859,0.020000000000000004,-0.02089088938533118,0.0,0.014001748317287852,6.0
293,29,3,3174423504164847707,two-camp,0.0,0.4,3.402512519047184,50.505050505050505,0.019999999999999997,0.011793317954733451,0.0,0.018466484959946138,6.0
294,29,4,7048707907312111480,two-camp,0.0,0.4,3.3145513393228123,54.54545454545455,0.019999999999999997,0.00561973310829206,0.0,0.0135494586588192,6.0
295,29,5,17623692470288099978,two-camp,0.0,0.4,3.2959720330954605,58.58585858585859,0.02,0.0057830416783674005,0.0,0.013334669598885967,6.0
296,29,6,17051739128901612159,two-camp,0.0,0.4,3.7775932328476527,41.41414141414141,0.020000000000000004,0.041740423788224734,0.0,0.014377364502259174,6.0
297,29,7,3090084271275008469,two-camp,0.0,0.4,3.1774773733265933,48.484848484848484,0.019999999999999997,-0.02918047620104314,0.0,0.013581605992809147,6.0
298,29,8,8298149087073278767,two-camp,0.0,0.4,3.505658353400325,43.43434343434343,0.020000000000000004,0.022847297648478794,0.0,0.013887561326208522,6.0
299,29,9,15601379992583277611,two-camp,0.0,0.4,3.8707677086395282,45.45454545454545,0.020000000000000004,0.025848142837314826,0.0,0.020110574514362337,6.0
300,30,0,10138483232342475712,two-camp,0.25,0.0,3.4319745946168596,52.525252525252526,0.4057042547849371,0.019345871944285664,0.0,0.43886266571361726,6.0
301,30,1,7912312364832424087,two-camp,0.25,0.0,3.1945428088805228,55.55555555555556,0.37697250449649644,0.017734306396333433,0.0,0.4376418831914604,6.0
302,30,2,2375003671975795524,two-camp,0.25,0.0,3.0015317707529983,40.4040404040404,0.356950570775828,0.018661263828965463,0.6349206349206349,0.4383729774695946,6.0
303,30,3,13718571839798394023,two-camp,0.25,0.0,3.5304411998325325,56.56565656565657,0.24370014674012086,-0.0027356228554958405,0.0,0.41551586288606585,6.0
304,30,4,4007833869870875678,two-camp,0.25,0.0,2.9460069054213727,42.42424242424242,0.3766603222877788,0.011779303564553104,0.0,0.4168599268661489,6.0
305,30,5,7277502717704331352,two-camp,0.25,0.0,3.090012782721235,51.515151515151516,0.38543461022054853,0.026852096092837664,0.31746031746031744,0.41709167219801463,6.0
306,30,6,3558963671342406973,two-camp,0.25,0.0,3.026924789254507,56.56565656565657,0.34818839166861837,0.0318981273676724,0.31446540880503143,0.4481597729873434,6.0
307,30,7,2509249201196471029,two-camp,0.25,0.0,3.53175623298278,34.343434343434346,0.3593131268878613,-0.0030636397933911093,0.0,0.44078654793520083,6.0
308,30,8,8590239399478219678,two-camp,0.25,0.0,2.8678244739410172,55.55555555555556,0.3068099810123458,0.007708347791407881,0.2898550724637681,0.4316032001515027,6.0
309,30,9,8573124783218841384,two-camp,0.25,0.0,2.8785491627961677,46.464646464646464,0.25517725821262127,-9.758755999536461e-05,0.0,0.4240126467163811,6.0
310,31,0,5422312350703644703,two-camp,0.25,0.05,3.098387798003792,56.56565656565657,0.020000000000000004,-0.007979278124049721,0.0,0.05108018608781815,6.0
