run_id,condition_index,repetition,seed,homophily,social_influence,mean_margin,control_change_rate,party_gap,mean_voter_ideology,switch_rate,ideology_sd,mean_degree
25,2,5,11598702600460565652,0.0,0.1,3.621327553000259,28.282828282828284,0.019999999999999997,0.010801572897190383,0.0,0.041485320857749565,6.0
26,2,6,13559265507446260268,0.0,0.1,3.1455028790035042,46.464646464646464,0.021039590374545468,-0.0006189721169919949,0.0,0.03204007346287821,6.0
27,2,7,10465451002891458374,0.0,0.1,3.388232260557005,48.484848484848484,0.023421819250395715,0.016662846146655325,0.0,0.030556598400885263,6.0
28,2,8,1655319314680752938,0.0,0.1,3.0666967391603976,49.494949494949495,0.020000000000000004,0.02538175749009794,0.0,0.027039246639923766,6.0
29,2,9,11724536325231161156,0.0,0.1,3.392941555879729,45.45454545454545,0.020000000000000004,0.034298865537690994,0.0,0.026304609230921008,6.0
30,3,0,8053210096387026896,0.0,0.2,3.3094025381945293,58.58585858585859,0.019999999999999997,0.05857314879531697,0.0,0.026226290848641576,6.0
31,3,1,10655495520655556436,0.0,0.2,3.1280966524053206,48.484848484848484,0.019999999999999997,0.014233493347763627,0.3333333333333333,0.019318550531054912,6.0
32,3,2,9904610584844573083,0.0,0.2,3.3284556475741955,51.515151515151516,0.022560901255100175,-0.001872332808807644,0.0,0.01820812758914468,6.0
33,3,3,4303397526913767443,0.0,0.2,3.402291241644483,64.64646464646465,0.022707335363634153,0.0024205870362305967,0.0,0.02355036762203205,6.0
34,3,4,10631180196865157691,0.0,0.2,3.511008541923794,54.54545454545455,0.02,0.0007071621390292018,0.0,0.01864352680108887,6.0
35,3,5,2066679233980803483,0.0,0.2,4.470788710524932,29.292929292929294,0.020000000000000004,-0.045382927677558735,0.0,0.019661885878192117,6.0
36,3,6,440753054018922954,0.0,0.2,2.828823590132156,49.494949494949495,0.019999999999999997,0.013410207897655041,0.0,0.033946299446850264,6.0
37,3,7,2509458898000412876,0.0,0.2,2.997344024898774,49.494949494949495,0.02,-0.001744102129335114,0.0,0.017936945065125644,6.0
38,3,8,8848217428589277260,0.0,0.2,2.6195867571956994,48.484848484848484,0.02,0.0045624013613602,0.0,0.024995831011639897,6.0
39,3,9,11006788599861831513,0.0,0.2,3.537353456319828,52.525252525252526,0.020000000000000004,0.03227753710911977,0.0,0.0169818425113324,6.0
40,4,0,2164664195095254506,0.0,0.4,3.479174307749634,44.44444444444444,0.020000000000000004,0.03823126394441682,0.0,0.01778272344485583,6.0
41,4,1,9882612895554826377,0.0,0.4,3.216810323894719,49.494949494949495,0.02,9.093133451329894e-05,0.0,0.02283632701753572,6.0
42,4,2,8101908477661534132,0.0,0.4,3.061049142204621,52.525252525252526,0.02,-0.009770945377393104,0.0,0.013511790166894603,6.0
43,4,3,15746211412080022513,0.0,0.4,3.159921274987186,52.525252525252526,0.019999999999999997,-0.02248194428526195,0.0,0.025551784906843785,6.0
44,4,4,9994985750895263302,0.0,0.4,2.926812215014658,53.535353535353536,0.02,0.009545675363826226,0.0,0.013932317580943498,6.0
45,4,5,6490197761713282024,0.0,0.4,3.431378380469786,56.56565656565657,0.019999999999999997,-0.02350800185408886,0.0,0.04237761018539396,6.0
46,4,6,14380750519882908218,0.0,0.4,3.5171880402541,50.505050505050505,0.020000000000000004,-0.021559927155167212,0.0,0.014854813432439067,6.0
47,4,7,9636804809407421694,0.0,0.4,4.08221509167402,38.38383838383838,0.020000000000000004,-0.008170114222237995,0.0,0.013651380674849934,6.0
48,4,8,8467306073981973094,0.0,0.4,3.5642520459588867,55.55555555555556,0.020000000000000004,0.014991149796266716,0.0,0.027466442601539146,6.0
49,4,9,17904900298365364238,0.0,0.4,3.192896265645668,61.61616161616162,0.020000000000000004,0.022067076019733265,0.0,0.013846671852910799,6.0
50,5,0,13087503490258137846,0.25,0.0,3.2608636587063495,46.464646464646464,0.36977041820380374,0.017950616764390574,0.3058103975535168,0.43263974457086984,6.0
51,5,1,7501536013274468442,0.25,0.0,3.148314167816368,50.505050505050505,0.30613991757412884,0.010381765248559403,0.0,0.43983600100177356,6.0
52,5,2,17797016293247597116,0.25,0.0,2.9461323632326115,48.484848484848484,0.2721444829684142,-0.005044889029540025,0.3067484662576687,0.4489610091044176,6.0
53,5,3,14590936352739134514,0.25,0.0,2.913680827683773,48.484848484848484,0.4034869954088107,0.01835557342687085,0.0,0.450022919215912,6.0
54,5,4,6862419106532725516,0.25,0.0,3.41934322321941,42.42424242424242,0.22148364721666958,-0.0075460858825297525,0.0,0.4366530711654756,6.0
